,ID_Start_Location,freq.loc,Start_Lat,Start_Lng,End_Lat,End_Lng,Start_Time,End_Time,differ_HHMM,Start_hms,End_hms,Year,Month,Day,Date,Start_Hour_numric,End_Hour_numric,Accident.Description,Severity,Distance.mi.,Traffic.Speed,Traffic.Speed.No.Accident,Number,Street,Street_Category,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Weather_Condition_Timestamp,Temperature.F.,Nautical_Twilight,Astronomical_Twilight,Wind_Chill.F.,Humidity...,Pressure.in.,Visibility.mi.,Wind_Direction,Wind_Speed.mph.,Precipitation.in.,Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Civil_Twilight,Nautical_Twilight.1,Astronomical_Twilight.1.1,Astronomical_Twilight.1
11,36,11,40.6659,-73.99604,40.66912,-73.99678,2020-01-29 7:57,2020-01-29 8:27,0:30,7:57:00,8:27:00,2020,1,29,2020-01-29,7,8,Right lane blocked,2,0.226,23,82,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11232,US,US/Eastern,KJRB,2020-01-29 7:51,2020-01-29 7:51,33,Day,Day,27,50,29.9,10,WNW,7,0,Cloudy,1,0,0,0,0,0,0,0,0,0,0,1,Day,Day,Day,Day
12,36,11,40.6659,-73.99604,40.66912,-73.99678,2019-04-15 9:29,2019-04-15 9:58,0:29,9:29:00,9:58:00,2019,4,15,2019-04-15,9,9,Right lane blocked,2,0.226,28,73,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11232,US,US/Eastern,KJRB,2019-04-15 9:51,2019-04-15 9:51,62,Day,Day,0,80,29.21,10,nan,0,0,Partly Cloudy,1,0,0,0,0,0,0,0,0,0,0,1,Day,Day,Day,Day
13,36,11,40.6659,-73.99604,40.66912,-73.99678,2019-06-27 9:05,2019-06-27 9:32,0:27,9:05:00,9:32:00,2019,6,27,2019-06-27,9,9,One lane blocked ,2,0.226,28,78,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11232,US,US/Eastern,KJRB,2019-06-27 8:51,2019-06-27 8:51,78,Day,Day,78,58,30,10,W,5,0,Fair,1,0,0,0,0,0,0,0,0,0,0,1,Day,Day,Day,Day
14,36,11,40.6659,-73.99604,40.66912,-73.99678,2017-11-29 11:09,2017-11-29 17:09,6:00,11:09:00,17:09:00,2017,11,29,2017-11-29,11,17,Right lane blocked,2,0.226,37,88,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11232,US,US/Eastern,KJRB,2017-11-29 11:15,2017-11-29 11:15,59,Day,Day,0,45,0,10,West,11.5,9.97,Clear,1,0,0,0,0,0,0,0,0,0,0,1,Day,Day,Day,Day
15,36,11,40.6659,-73.99604,40.66912,-73.99678,2017-12-01 15:52,2017-12-01 21:52,6:00,15:52:00,21:52:00,2017,12,1,2017-12-01,15,21,Right lane blocked,2,0.226,26,76,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11232,US,US/Eastern,KJRB,2017-12-01 15:55,2017-12-01 15:55,53.6,Day,Day,0,51,0,10,Variable,3.5,10,Clear,1,0,0,0,0,0,0,0,0,0,0,1,Day,Day,Day,Day
16,36,11,40.6659,-73.99604,40.66912,-73.99678,2019-04-04 17:49,2019-04-04 18:16,0:27,17:49:00,18:16:00,2019,4,4,2019-04-04,17,18,Right lane blocked,3,0.226,15,82,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11232,US,US/Eastern,KJRB,2019-04-04 17:51,2019-04-04 17:51,58,Day,Day,58,18,30.2,10,WNW,8,0,Fair,1,0,0,0,0,0,0,0,0,0,0,1,Day,Day,Day,Day
17,36,11,40.6659,-73.99604,40.66912,-73.99678,2017-11-28 20:46,2017-11-29 2:46,6:00,20:46:00,2:46:00,2017,11,28,2017-11-28,20,2,Right lane blocked,2,0.226,39,88,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11232,US,US/Eastern,KJRB,2017-11-28 20:55,2017-11-28 20:55,51.8,Night,Night,0,76,0,10,WSW,8.1,0,Clear,1,0,0,0,0,0,0,0,0,0,0,1,Night,Night,Night,Night
18,36,11,40.6659,-73.99604,40.66912,-73.99678,2018-11-29 21:03,2018-11-29 21:31,0:28,21:03:00,21:31:00,2018,11,29,2018-11-29,21,21,Two lanes blocked,3,0.226,38,88,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11232,US,US/Eastern,KJRB,2018-11-29 20:56,2018-11-29 20:56,41,Night,Night,39,60,30.01,10,Variable,3.5,0,Partly Cloudy,1,0,0,0,0,0,0,0,0,0,0,1,Night,Night,Night,Night
19,20,7,40.6664,-73.80175,40.6664,-73.80175,2020-06-26 7:46,2020-06-26 8:16,0:30,7:46:00,8:16:00,2020,6,26,2020-06-26,7,8,Two lanes blocked,4,0,22,79,0,Van Wyck Expy S,County Highways,R,South Ozone Park,Queens,NY,11420,US,US/Eastern,KJFK,2020-06-26 7:51,2020-06-26 7:51,77,Day,Day,77,60,29.97,10,WNW,9,0,Partly Cloudy,0,0,0,0,1,0,0,0,0,0,0,0,Day,Day,Day,Day
20,20,7,40.6664,-73.80175,40.6664,-73.80175,2020-06-26 7:46,2020-06-26 8:16,0:30,7:46:00,8:16:00,2020,6,26,2020-06-26,7,8,Two lanes blocked,4,0,22,77,0,Van Wyck Expy S,County Highways,R,South Ozone Park,Queens,NY,11420,US,US/Eastern,KJFK,2020-06-26 7:51,2020-06-26 7:51,77,Day,Day,77,60,29.97,10,WNW,9,0,Partly Cloudy,0,0,0,0,1,0,0,0,0,0,0,0,Day,Day,Day,Day
21,20,7,40.6664,-73.80175,40.6664,-73.80175,2020-05-09 17:50,2020-05-09 18:20,0:30,17:50:00,18:20:00,2020,5,9,2020-05-09,17,18,Right lane blocked,4,0,13,88,0,Van Wyck Expy S,County Highways,R,South Ozone Park,Queens,NY,11420,US,US/Eastern,KJFK,2020-05-09 17:51,2020-05-09 17:51,44,Day,Day,36,47,29.9,10,NW,18,0,Light Rain,0,0,0,0,1,0,0,0,0,0,0,0,Day,Day,Day,Day
22,20,7,40.6664,-73.80175,40.6664,-73.80175,2020-05-09 18:58,2020-05-09 19:28,0:30,18:58:00,19:28:00,2020,5,9,2020-05-09,18,19,Right lane blocked,1,0,24,88,0,Van Wyck Expy S,County Highways,R,South Ozone Park,Queens,NY,11420,US,US/Eastern,KJFK,2020-05-09 18:51,2020-05-09 18:51,44,Day,Day,35,49,29.94,10,NW,23,0,Mostly Cloudy / Windy,0,0,0,0,1,0,0,0,0,0,0,0,Day,Day,Day,Day
23,20,7,40.6664,-73.80175,40.6664,-73.80175,2020-05-09 18:54,2020-05-09 19:24,0:30,18:54:00,19:24:00,2020,5,9,2020-05-09,18,19,Right lane blocked,1,0,24,88,0,Van Wyck Expy S,County Highways,R,South Ozone Park,Queens,NY,11420,US,US/Eastern,KJFK,2020-05-09 18:51,2020-05-09 18:51,44,Day,Day,35,49,29.94,10,NW,23,0,Mostly Cloudy / Windy,0,0,0,0,1,0,0,0,0,0,0,0,Day,Day,Day,Day
24,20,7,40.6664,-73.80175,40.6664,-73.80175,2020-05-09 18:23,2020-05-09 18:53,0:30,18:23:00,18:53:00,2020,5,9,2020-05-09,18,18,Right lane blocked,2,0,21,88,0,Van Wyck Expy S,County Highways,R,South Ozone Park,Queens,NY,11420,US,US/Eastern,KJFK,2020-05-09 18:51,2020-05-09 18:51,44,Day,Day,35,49,29.94,10,NW,23,0,Mostly Cloudy / Windy,0,0,0,0,1,0,0,0,0,0,0,0,Day,Day,Day,Day
25,20,7,40.6664,-73.80175,40.6664,-73.80175,2020-04-26 20:13,2020-04-26 20:58,0:45,20:13:00,20:58:00,2020,4,26,2020-04-26,20,20,Two lanes blocked,3,0,38,82,0,Van Wyck Expy S,County Highways,R,South Ozone Park,Queens,NY,11420,US,US/Eastern,KJFK,2020-04-26 19:51,2020-04-26 19:51,46,Day,Day,38,100,29.73,4,N,20,0,Light Rain,0,0,0,0,1,0,0,0,0,0,0,0,Day,Day,Day,Day
26,16,13,40.66707,-73.99574,40.66707,-73.99574,2019-06-15 3:39,2019-06-15 4:42,1:03,3:39:00,4:42:00,2019,6,15,2019-06-15,3,4,Right lane blocked,2,0,60,89,0,Brooklyn Queens Expy,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2019-06-15 3:51,2019-06-15 3:51,63,Night,Day,63,52,29.97,10,CALM,0,0,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Night,Night,Day,Day
27,16,13,40.66707,-73.99574,40.66707,-73.99574,2019-12-28 3:27,2019-12-28 5:29,2:02,3:27:00,5:29:00,2019,12,28,2019-12-28,3,5,Two lanes blocked,3,0,47,86,0,Brooklyn Queens Expy,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2019-12-28 3:51,2019-12-28 3:51,46,Night,Night,46,86,29.99,5,NW,3,0,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Night,Night,Night,Night
28,16,13,40.66707,-73.99574,40.66707,-73.99574,2020-01-20 6:38,2020-01-20 8:17,1:39,6:38:00,8:17:00,2020,1,20,2020-01-20,6,8,Right lane blocked,3,0,29,78,0,Brooklyn Queens Expy,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2020-01-20 6:51,2020-01-20 6:51,20,Day,Day,11,55,30.03,10,VAR,7,0,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Night,Day,Day,Day
29,16,13,40.66707,-73.99574,40.66707,-73.99574,2019-06-24 10:26,2019-06-24 10:55,0:29,10:26:00,10:55:00,2019,6,24,2019-06-24,10,10,One lane blocked ,3,0,32,88,0,Brooklyn Queens Expy,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2019-06-24 10:51,2019-06-24 10:51,80,Day,Day,80,39,29.74,10,CALM,0,0,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Day,Day,Day,Day
30,16,13,40.66707,-73.99574,40.66707,-73.99574,2019-07-30 13:35,2019-07-30 14:50,1:15,13:35:00,14:50:00,2019,7,30,2019-07-30,13,14,Right lane blocked,3,0,19,82,0,Brooklyn Queens Expy,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2019-07-30 13:51,2019-07-30 13:51,92,Day,Day,92,50,29.83,10,CALM,0,0,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Day,Day,Day,Day
31,16,13,40.66707,-73.99574,40.66707,-73.99574,2020-08-13 13:19,2020-08-13 16:08,2:49,13:19:00,16:08:00,2020,8,13,2020-08-13,13,16,Two lanes blocked,3,0,19,76,0,Brooklyn Queens Expy,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2020-08-13 12:51,2020-08-13 12:51,75,Day,Day,75,90,30.01,7,NNE,5,0,nan,0,0,0,0,0,0,0,0,0,0,0,0,Day,Day,Day,Day
32,16,13,40.66707,-73.99574,40.66707,-73.99574,2020-03-18 14:05,2020-03-18 15:21,1:16,14:05:00,15:21:00,2020,3,18,2020-03-18,14,15,Right lane blocked,3,0,22,80,0,Brooklyn Queens Expy,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2020-03-18 13:51,2020-03-18 13:51,52,Day,Day,52,35,30.38,10,VAR,3,0,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Day,Day,Day,Day
33,16,13,40.66707,-73.99574,40.66707,-73.99574,2020-01-06 15:20,2020-01-06 17:05,1:45,15:20:00,17:05:00,2020,1,6,2020-01-06,15,17,Two lanes blocked,3,0,20,75,0,Brooklyn Queens Expy,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2020-01-06 14:51,2020-01-06 14:51,44,Day,Day,41,49,29.79,10,VAR,6,0,Cloudy,0,0,0,0,0,0,0,0,0,0,0,0,Day,Day,Day,Day
34,16,13,40.66707,-73.99574,40.66707,-73.99574,2020-06-28 16:15,2020-06-28 17:42,1:27,16:15:00,17:42:00,2020,6,28,2020-06-28,16,17,Two lanes blocked,3,0,22,73,0,Brooklyn Queens Expy,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2020-06-28 15:51,2020-06-28 15:51,88,Day,Day,88,49,29.58,10,VAR,6,0,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Day,Day,Day,Day
35,16,13,40.66707,-73.99574,40.66707,-73.99574,2019-06-26 17:03,2019-06-26 18:18,1:15,17:03:00,18:18:00,2019,6,26,2019-06-26,17,18,Right lane blocked,3,0,15,72,0,Brooklyn Queens Expy,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2019-06-26 16:51,2019-06-26 16:51,85,Day,Day,85,41,29.84,10,VAR,7,0,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Day,Day,Day,Day
36,16,13,40.66707,-73.99574,40.66707,-73.99574,2020-06-01 18:27,2020-06-01 19:26,0:59,18:27:00,19:26:00,2020,6,1,2020-06-01,18,19,Right lane blocked,3,0,13,67,0,Brooklyn Queens Expy,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2020-06-01 18:51,2020-06-01 18:51,68,Day,Day,0,30,29.99,10,nan,0,0,Cloudy,0,0,0,0,0,0,0,0,0,0,0,0,Day,Day,Day,Day
37,16,13,40.66707,-73.99574,40.66707,-73.99574,2020-01-30 19:46,2020-01-30 20:32,0:46,19:46:00,20:32:00,2020,1,30,2020-01-30,19,20,Right lane blocked,3,0,28,87,0,Brooklyn Queens Expy,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2020-01-30 19:51,2020-01-30 19:51,34,Night,Night,34,70,30.18,10,CALM,0,0,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Night,Night,Night,Night
38,16,13,40.66707,-73.99574,40.66707,-73.99574,2020-02-28 22:11,2020-02-28 22:41,0:30,22:11:00,22:41:00,2020,2,28,2020-02-28,22,22,Two lanes blocked,3,0,36,82,0,Brooklyn Queens Expy,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2020-02-28 21:51,2020-02-28 21:51,37,Night,Night,32,29,29.74,10,W,7,0,Mostly Cloudy,0,0,0,0,0,0,0,0,0,0,0,0,Night,Night,Night,Night
39,98,15,40.66711,-73.99592,40.66711,-73.99592,2017-07-24 5:47,2017-07-24 6:16,0:29,5:47:00,6:16:00,2017,7,24,2017-07-24,5,6,Two lanes blocked,3,0,36,88,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2017-07-24 5:42,2017-07-24 5:42,71.6,Day,Day,0,94,29.78,2,NE,12.7,0.25,Rain,0,0,0,0,0,0,0,0,0,0,0,0,Day,Day,Day,Day
40,98,15,40.66711,-73.99592,40.66711,-73.99592,2017-12-05 8:34,2017-12-05 9:03,0:29,8:34:00,9:03:00,2017,12,5,2017-12-05,8,9,Two lanes blocked,3,0,20,79,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2017-12-05 8:35,2017-12-05 8:35,53.6,Day,Day,0,82,0,10,SSE,10.4,0,Clear,0,0,0,0,0,0,0,0,0,0,0,0,Day,Day,Day,Day
41,98,15,40.66711,-73.99592,40.66711,-73.99592,2018-01-07 8:01,2018-01-07 8:31,0:30,8:01:00,8:31:00,2018,1,7,2018-01-07,8,8,Right lane blocked,3,0,20,87,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2018-01-07 7:56,2018-01-07 7:56,8.1,Day,Day,1.4,67,0,10,Variable,3.5,0,Clear,0,0,0,0,0,0,0,0,0,0,0,0,Day,Day,Day,Day
42,98,15,40.66711,-73.99592,0,0,2016-11-15 10:24,2016-11-15 10:53,0:29,10:24:00,10:53:00,2016,11,15,2016-11-15,10,10,Two lanes blocked,3,0.01,32,88,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2016-11-15 10:27,2016-11-15 10:27,50,Day,Day,0,94,29.83,1.8,Variable,3.5,0.18,Rain,0,0,0,0,0,0,0,0,0,0,0,0,Day,Day,Day,Day
43,98,15,40.66711,-73.99592,0,0,2017-02-19 10:40,2017-02-19 11:24,0:44,10:40:00,11:24:00,2017,2,19,2017-02-19,10,11,Two lanes blocked,3,0.01,32,82,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2017-02-19 10:35,2017-02-19 10:35,60.8,Day,Day,0,42,30.41,10,West,8.1,0,Clear,0,0,0,0,0,0,0,0,0,0,0,0,Day,Day,Day,Day
44,98,15,40.66711,-73.99592,0,0,2017-05-24 10:51,2017-05-24 11:21,0:30,10:51:00,11:21:00,2017,5,24,2017-05-24,10,11,Two lanes blocked,2,0.01,35,88,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2017-05-24 10:55,2017-05-24 10:55,62.6,Day,Day,0,72,30.41,10,ENE,6.9,0.02,Overcast,0,0,0,0,0,0,0,0,0,0,0,0,Day,Day,Day,Day
45,98,15,40.66711,-73.99592,0,0,2017-04-28 15:29,2017-04-28 16:13,0:44,15:29:00,16:13:00,2017,4,28,2017-04-28,15,16,Right lane blocked,3,0.01,20,82,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2017-04-28 15:35,2017-04-28 15:35,80.6,Day,Day,0,39,30.42,10,WSW,8.1,10,Clear,0,0,0,0,0,0,0,0,0,0,0,0,Day,Day,Day,Day
46,98,15,40.66711,-73.99592,40.66711,-73.99592,2017-11-12 15:45,2017-11-12 16:30,0:45,15:45:00,16:30:00,2017,11,12,2017-11-12,15,16,Right lane blocked,3,0,20,88,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2017-11-12 15:55,2017-11-12 15:55,50,Day,Day,0,50,0,10,West,9.2,0.01,Clear,0,0,0,0,0,0,0,0,0,0,0,0,Day,Day,Day,Day
47,98,15,40.66711,-73.99592,40.66711,-73.99592,2017-09-07 17:32,2017-09-07 18:17,0:45,17:32:00,18:17:00,2017,9,7,2017-09-07,17,18,One lane blocked ,3,0,15,82,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2017-09-07 17:35,2017-09-07 17:35,73.4,Day,Day,0,47,30.42,10,West,17.3,0,Mostly Cloudy,0,0,0,0,0,0,0,0,0,0,0,0,Day,Day,Day,Day
48,98,15,40.66711,-73.99592,0,0,2016-12-19 18:28,2016-12-19 19:12,0:44,18:28:00,19:12:00,2016,12,19,2016-12-19,18,19,Right lane blocked,3,0.01,13,68,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2016-12-19 18:35,2016-12-19 18:35,28.4,Night,Night,20.4,59,30.44,0,ENE,8.1,0,Clear,0,0,0,0,0,0,0,0,0,0,0,0,Night,Night,Night,Night
49,98,15,40.66711,-73.99592,40.66711,-73.99592,2018-02-05 18:51,2018-02-05 19:19,0:28,18:51:00,19:19:00,2018,2,5,2018-02-05,18,19,Two lanes blocked,3,0,13,82,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2018-02-05 18:55,2018-02-05 18:55,30.2,Night,Night,25.4,44,0,10,Variable,4.6,0,Clear,0,0,0,0,0,0,0,0,0,0,0,0,Night,Night,Night,Night
50,98,15,40.66711,-73.99592,40.66711,-73.99592,2016-10-03 19:17,2016-10-03 20:15,0:58,19:17:00,20:15:00,2016,10,3,2016-10-03,19,20,Right lane blocked,3,0,28,85,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2016-10-03 19:15,2016-10-03 19:15,69.8,Day,Day,0,73,30.05,10,WSW,3.5,0,Scattered Clouds,0,0,0,0,0,0,0,0,0,0,0,0,Night,Day,Day,Day
51,98,15,40.66711,-73.99592,0,0,2017-02-21 19:32,2017-02-21 20:17,0:45,19:32:00,20:17:00,2017,2,21,2017-02-21,19,20,Right lane blocked,3,0.01,28,82,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2017-02-21 16:15,2017-02-21 16:15,44.6,Night,Night,40.2,61,30.43,10,South,8.1,0,Clear,0,0,0,0,0,0,0,0,0,0,0,0,Night,Night,Night,Night
52,98,15,40.66711,-73.99592,40.66711,-73.99592,2016-10-04 21:28,2016-10-04 21:57,0:29,21:28:00,21:57:00,2016,10,4,2016-10-04,21,21,Two lanes blocked,3,0,38,82,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2016-10-04 21:35,2016-10-04 21:35,66.2,Night,Night,0,73,30.32,10,NE,11.5,0,Partly Cloudy,0,0,0,0,0,0,0,0,0,0,0,0,Night,Night,Night,Night
53,98,15,40.66711,-73.99592,0,0,2017-01-14 21:43,2017-01-14 22:13,0:30,21:43:00,22:13:00,2017,1,14,2017-01-14,21,22,Right lane blocked,3,0.01,38,80,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,2017-01-14 21:35,2017-01-14 21:35,32,Night,Night,25.6,87,30.43,0,West,6.9,0,Overcast,0,0,0,0,0,0,0,0,0,0,0,0,Night,Night,Night,Night
54,34,6,40.68258,-73.66615,40.68258,-73.66615,2020-03-26 5:36,2020-03-26 6:06,0:30,5:36:00,6:06:00,2020,3,26,2020-03-26,5,6,Right lane blocked,3,0,36,88,0,Southern State Pkwy E,County Highways,R,Malverne,Nassau,NY,11565,US,US/Eastern,KJFK,2020-03-26 5:51,2020-03-26 5:51,37,Night,Day,30,76,30.05,10,NNW,10,0,Fair,0,0,0,0,1,0,0,0,0,0,0,0,Night,Night,Day,Day
